;Hidro-SP/PIE;Hidro-APE;Hidro-TOTAL;Termo-SP/PIE;Termo-APE;Termo-TOTAL;Eolica-SP/PIE;Eolica-APE;Eolica-TOTAL;Solar-SP/PIE;Solar-APE;Solar-TOTAL;Nuclear-SP/PIE;Total-SP/PIE;Total-APE;Total-TOTAL
1974;13224.0;500.0;13724.0;2489.0;1920.0;4409.0;0.0;0.0;0.0;;;;0;15713.0;2420.0;18133.0
1975;15815.0;501.0;16316.0;2436.0;2216.0;4652.0;0.0;0.0;0.0;;;;0;18251.0;2717.0;20968.0
1976;17343.0;561.0;17904.0;2457.0;2223.0;4680.0;0.0;0.0;0.0;;;;0;19800.0;2784.0;22584.0
1977;18835.0;561.0;19396.0;2729.0;2214.0;4943.0;0.0;0.0;0.0;;;;0;21564.0;2775.0;24339.0
1978;21104.0;561.0;21665.0;3048.0;2259.0;5307.0;0.0;0.0;0.0;;;;0;24152.0;2820.0;26972.0
1979;23667.0;568.0;24235.0;3573.0;2411.0;5984.0;0.0;0.0;0.0;;;;0;27240.0;2979.0;30219.0
1980;27081.0;568.0;27649.0;3484.0;2339.0;5823.0;0.0;0.0;0.0;;;;0;30565.0;2907.0;33472.0
1981;30596.0;577.0;31173.0;3655.0;2441.0;6096.0;0.0;0.0;0.0;;;;0;34251.0;3018.0;37269.0
1982;32542.0;614.0;33156.0;3687.0;2503.0;6190.0;0.0;0.0;0.0;;;;0;36229.0;3117.0;39346.0
1983;33556.0;622.0;34178.0;3641.0;2547.0;6188.0;0.0;0.0;0.0;;;;0;37197.0;3169.0;40366.0
1984;34301.0;622.0;34923.0;3626.0;2547.0;6173.0;0.0;0.0;0.0;;;;0;37927.0;3169.0;41096.0
1985;36453.0;624.0;37077.0;3708.0;2665.0;6373.0;0.0;0.0;0.0;;;;657;40818.0;3289.0;44107.0
1986;37162.0;624.0;37786.0;3845.0;2665.0;6510.0;0.0;0.0;0.0;;;;657;41664.0;3289.0;44953.0
1987;39693.0;636.0;40329.0;3910.0;2665.0;6575.0;0.0;0.0;0.0;;;;657;44260.0;3301.0;47561.0
1988;41583.0;645.0;42228.0;4025.0;2665.0;6690.0;0.0;0.0;0.0;;;;657;46265.0;3310.0;49575.0
1989;44172.0;624.0;44796.0;4007.0;2665.0;6672.0;0.0;0.0;0.0;;;;657;48836.0;3289.0;52125.0
1990;44934.0;624.0;45558.0;4170.0;2665.0;6835.0;0.0;0.0;0.0;;;;657;49761.0;3289.0;53050.0
1991;45992.0;624.0;46616.0;4203.0;2665.0;6868.0;0.0;0.0;0.0;;;;657;50852.0;3289.0;54141.0
1992;47085.0;624.0;47709.0;4018.5;2665.0;6683.5;0.075;0.0;0.075;;;0.0;657;51760.575;3289.0;55049.575
